feature,importance
day_count,607756875.4877472
hosp_grade_x_fee_item_type,325482636.60749054
age_bucket_x_duty_code,272699341.453125
policy_grp_name,217571042.30541992
member_std_paid,106563319.68665314
large_case_amt,102222035.66703796
member_avg_claim_size,96116597.21606445
claim_type,64894831.27239227
group_code_te,35696394.34277344
member_total_paid,26449749.136177063
member_claim_rate,21003701.326141357
policy_age_days,19451067.23032379
member_claim_count,17432069.152511597
rgt_source,17375249.642211914
is_yearend_x_hosp_grade,16413863.794540405
rnew_flag_x_duty_code,15944190.211990356
monthly_avg,15506398.477546692
member_case_count,12704478.252388
age,12701979.516235352
monthly_median,10824520.550994873
