feature,importance
day_count,601027021.6672974
age_bucket_x_duty_code,241873601.43807983
hosp_grade_x_fee_item_type,215233895.42404175
policy_grp_name,179917452.57028198
member_avg_claim_size,103319309.28225708
large_case_amt,99305396.19812012
member_std_paid,95096237.70605469
claim_type,65364521.285980225
group_code_te,27353241.989227295
member_total_paid,19131606.98413086
member_claim_count,16452969.505737305
member_claim_rate,13994049.647216797
rnew_flag_x_duty_code,13850387.105072021
policy_age_days,13336738.541046143
is_yearend_x_hosp_grade,12016673.314727783
rgt_source,9699274.974365234
age,8140669.469848633
member_case_count,7637781.583190918
fee_item_type,6216710.972900391
day_of_week,5866164.157714844
