feature,importance
age_bucket_x_duty_code,900258018.8041992
member_avg_claim_size,288068060.0703125
large_case_amt,118145955.19628906
member_std_paid,43862359.91113281
policy_grp_name,37691905.62207031
day_count,14175876.770019531
hosp_grade_x_fee_item_type,12735851.568847656
claim_type,11330672.041015625
group_code_te,4169557.3818359375
monthly_avg,3058101.6596679688
rgt_source,2127773.4819335938
fee_item_type,1559435.697265625
rnew_flag_x_duty_code,1511980.5068359375
member_total_paid,1380856.7900390625
member_claim_rate,1373021.3095703125
is_yearend_x_hosp_grade,979106.802734375
duty_code,885478.1127929688
monthly_median,871405.2680664062
member_case_count,827440.546875
member_claim_count,810931.86328125
