iter	Logloss
0	0.6917756617
1	0.6906450835
2	0.689336784
3	0.6883719054
4	0.6874090031
5	0.6864581299
6	0.6855140141
7	0.6846969314
8	0.6840504928
9	0.683351019
10	0.6826284463
11	0.6819806344
12	0.6813788895
13	0.6807220096
14	0.680134677
15	0.6796482304
16	0.6791152409
17	0.6784739685
18	0.6780228715
19	0.6775431642
20	0.677077386
21	0.6766303834
22	0.6763482884
23	0.6759674181
24	0.6755904788
25	0.6751999664
26	0.6748941694
27	0.674621186
28	0.6742580995
29	0.6739404479
30	0.6736098044
31	0.6733169483
32	0.6730281067
33	0.6726488531
34	0.6723448108
35	0.6720534842
36	0.6717612748
37	0.6714893523
38	0.6712640599
39	0.6710066259
40	0.6707690175
41	0.6704428173
42	0.6702104114
43	0.6699656205
44	0.6697468204
45	0.6694695536
46	0.6691969844
47	0.6690238989
48	0.6687288193
49	0.6684613255
50	0.6681743731
51	0.6680166335
52	0.6678059496
53	0.6676371838
54	0.6674826776
55	0.6671867807
56	0.6669386618
57	0.6666787284
58	0.6663885462
59	0.6661435663
60	0.6659691438
61	0.6657390703
62	0.6654603831
63	0.6652675302
64	0.6649537477
65	0.6647554161
66	0.6645681763
67	0.6643677702
68	0.6641922251
69	0.6639861152
70	0.6638060724
71	0.663648787
72	0.6634650312
73	0.6631760842
74	0.6629666755
75	0.6627302406
76	0.6624851481
77	0.6622765241
78	0.6620745704
79	0.6618504515
80	0.6616312227
81	0.6613937451
82	0.6611958168
83	0.6610344805
84	0.6607687814
85	0.6606150309
86	0.6604101562
87	0.6601409912
88	0.6599668121
89	0.6597568657
90	0.6596002234
91	0.6594011688
92	0.6592230624
93	0.659005047
94	0.6588485282
95	0.6586904508
96	0.6585154978
97	0.6583547356
98	0.6581593068
99	0.6580006663
100	0.6578359186
101	0.6576711636
102	0.6575133333
103	0.6573608653
104	0.6572126625
105	0.6570818765
106	0.6569085584
107	0.6567074694
108	0.6565577007
109	0.6564022137
110	0.656274563
111	0.656030535
112	0.655931342
113	0.6558262671
114	0.655690442
115	0.6555080559
116	0.6552855137
117	0.6550723267
118	0.6548694211
119	0.6546727934
120	0.6545150684
121	0.6542575473
122	0.6540538279
123	0.653946595
124	0.6537588465
125	0.6536223312
126	0.6534756433
127	0.6532780021
128	0.6530669221
129	0.6529074024
130	0.6527816373
131	0.6526347787
132	0.652417232
133	0.652284575
134	0.6520626286
135	0.6519379934
136	0.6517346809
137	0.6515035066
138	0.651369905
139	0.651234367
140	0.6510915266
141	0.6509255001
142	0.6508215405
143	0.6506221372
144	0.6504932149
145	0.6503046781
146	0.6501917376
147	0.6499954187
148	0.6498749942
149	0.6496907152
150	0.6495682671
151	0.6493688275
152	0.6491850644
153	0.6490205674
154	0.6488182794
155	0.6487204161
156	0.648614571
157	0.648494626
158	0.6483057258
159	0.6481867545
160	0.6481018066
161	0.6480395145
162	0.6478583963
163	0.6477068111
164	0.6475975327
165	0.6474713171
166	0.6472549475
167	0.6471035367
168	0.6469346909
169	0.6468142228
170	0.6466421036
171	0.6464338502
172	0.6462540145
173	0.6461429814
174	0.6460252853
175	0.6459196654
176	0.6457097771
177	0.645575587
178	0.6453997548
179	0.6452252488
180	0.6450642032
181	0.6449114191
182	0.6447565933
183	0.644615602
184	0.6444847906
185	0.6443196833
186	0.6441980416
187	0.6441075679
188	0.644022482
189	0.6438065047
190	0.6436541385
191	0.643547425
192	0.6433786265
193	0.6432938094
194	0.6432010614
195	0.643032608
196	0.642900387
197	0.6427542441
198	0.6425895618
199	0.6424971408
200	0.6424027434
201	0.6422416324
202	0.6421296474
203	0.6420134844
204	0.6417892529
205	0.6415956806
206	0.6414260719
207	0.6412394206
208	0.6411333793
209	0.6409757487
210	0.6407946995
211	0.640645316
212	0.6404749988
213	0.6403475371
214	0.6402512759
215	0.6401412782
216	0.6399701
217	0.6398133596
218	0.6396693057
219	0.639504449
220	0.6393819101
