iter	Passed	Remaining
0	118	58965
1	171	42821
2	223	37082
3	276	34251
4	325	32204
5	363	29898
6	402	28359
7	434	26745
8	460	25117
9	478	23430
10	498	22159
11	517	21049
12	548	20563
13	602	20902
14	641	20745
15	681	20607
16	716	20367
17	759	20327
18	806	20409
19	828	19881
20	845	19285
21	870	18903
22	891	18485
23	906	17987
24	926	17612
25	940	17153
26	960	16832
27	985	16621
28	1003	16304
29	1019	15976
30	1042	15778
31	1066	15602
32	1090	15439
33	1115	15285
34	1143	15191
35	1168	15065
36	1194	14951
37	1218	14810
38	1241	14673
39	1260	14492
40	1278	14308
41	1296	14139
42	1317	14005
43	1339	13878
44	1354	13693
45	1370	13521
46	1393	13435
47	1415	13328
48	1434	13203
49	1473	13265
50	1502	13229
51	1532	13203
52	1556	13125
53	1578	13037
54	1603	12972
55	1625	12891
56	1642	12766
57	1662	12668
58	1696	12682
59	1727	12665
60	1746	12570
61	1773	12526
62	1803	12509
63	1832	12483
64	1852	12396
65	1869	12294
66	1887	12196
67	1903	12092
68	1926	12033
69	1946	11956
70	1964	11870
71	1982	11785
72	2002	11711
73	2022	11641
74	2047	11599
75	2066	11529
76	2095	11512
77	2123	11489
78	2140	11404
79	2157	11325
80	2175	11254
81	2193	11183
82	2213	11119
83	2232	11054
84	2253	11003
85	2274	10947
86	2302	10929
87	2323	10877
88	2347	10840
89	2368	10787
90	2391	10747
91	2412	10697
92	2428	10630
93	2449	10578
94	2469	10528
95	2487	10468
96	2511	10434
97	2529	10377
98	2544	10307
99	2564	10256
100	2592	10242
101	2623	10237
102	2649	10210
103	2669	10166
104	2691	10124
105	2714	10088
106	2737	10055
107	2766	10040
108	2797	10036
109	2819	9995
110	2846	9975
111	2878	9970
112	2932	10043
113	2977	10080
114	3005	10061
115	3028	10025
116	3046	9973
117	3062	9915
118	3081	9867
119	3099	9813
120	3119	9769
121	3153	9770
122	3177	9740
123	3202	9709
124	3224	9673
125	3252	9655
126	3278	9628
127	3303	9599
128	3319	9547
129	3341	9511
130	3367	9486
131	3391	9454
132	3417	9431
133	3449	9422
134	3474	9394
135	3496	9358
136	3519	9324
137	3538	9281
138	3561	9248
139	3578	9202
140	3594	9151
141	3619	9124
142	3637	9080
143	3652	9030
144	3673	8994
145	3697	8965
146	3713	8916
147	3732	8876
148	3748	8831
149	3764	8783
150	3782	8741
151	3805	8712
152	3824	8672
153	3843	8635
154	3862	8596
155	3876	8547
156	3898	8517
157	3915	8474
158	3932	8434
159	3950	8394
160	3966	8352
161	3983	8310
162	4002	8274
163	4020	8237
164	4043	8209
165	4075	8200
166	4096	8168
167	4111	8124
168	4137	8103
169	4154	8063
170	4173	8028
171	4194	7998
172	4220	7976
173	4237	7940
174	4253	7899
175	4268	7858
176	4288	7826
177	4304	7786
178	4330	7765
179	4349	7732
180	4365	7694
181	4408	7702
182	4455	7718
183	4483	7699
184	4504	7669
185	4523	7636
186	4550	7616
187	4571	7586
188	4593	7558
189	4612	7524
190	4631	7493
191	4649	7457
192	4670	7429
193	4687	7394
194	4704	7358
195	4723	7326
196	4740	7290
197	4760	7261
198	4782	7234
199	4801	7202
200	4824	7176
201	4852	7158
202	4883	7145
203	4905	7118
204	4935	7101
205	4951	7067
206	4967	7030
207	4984	6997
208	5001	6964
209	5025	6939
210	5042	6906
211	5057	6870
212	5073	6836
213	5093	6807
214	5114	6780
215	5131	6746
216	5148	6713
217	5173	6692
218	5186	6655
219	5211	6633
220	5230	6602
221	5253	6578
222	5273	6550
223	5290	6519
224	5312	6492
225	5330	6462
226	5356	6442
227	5385	6424
228	5400	6391
229	5420	6363
230	5436	6330
231	5464	6312
232	5486	6287
233	5507	6260
234	5530	6237
235	5556	6216
236	5575	6187
237	5593	6157
238	5621	6138
239	5644	6115
240	5668	6091
241	5690	6066
242	5712	6041
243	5735	6017
244	5756	5991
245	5788	5976
246	5825	5966
247	5865	5960
248	5897	5945
249	5914	5914
250	5943	5895
251	5964	5870
252	5980	5838
253	5998	5809
254	6018	5782
255	6034	5751
256	6057	5727
257	6088	5710
258	6104	5680
259	6125	5654
260	6149	5631
261	6174	5609
262	6211	5597
263	6238	5577
264	6266	5557
265	6287	5531
266	6315	5511
267	6339	5487
268	6356	5458
269	6380	5435
270	6399	5407
271	6417	5379
272	6443	5357
273	6465	5332
274	6481	5303
275	6502	5277
276	6522	5250
277	6544	5225
278	6568	5203
279	6588	5176
280	6604	5147
281	6630	5125
282	6649	5098
283	6668	5071
284	6687	5044
285	6707	5018
286	6722	4989
287	6739	4961
288	6754	4931
289	6778	4908
290	6797	4882
291	6819	4857
292	6838	4831
293	6861	4807
294	6881	4781
295	6899	4755
296	6915	4727
297	6934	4700
298	6961	4680
299	6983	4655
300	7000	4628
301	7021	4603
302	7043	4579
303	7066	4556
304	7092	4534
305	7118	4512
306	7138	4488
307	7158	4462
308	7177	4436
309	7196	4410
310	7223	4389
311	7255	4372
312	7299	4360
313	7325	4339
314	7354	4319
315	7390	4303
316	7411	4278
317	7427	4251
318	7446	4224
319	7466	4200
320	7490	4176
321	7513	4153
322	7529	4126
323	7551	4101
324	7573	4077
325	7595	4054
326	7615	4029
327	7636	4004
328	7654	3978
329	7672	3952
330	7692	3927
331	7711	3902
332	7731	3877
333	7751	3852
334	7765	3824
335	7782	3798
336	7800	3772
337	7827	3751
338	7848	3727
339	7873	3705
340	7894	3681
341	7916	3657
342	7934	3631
343	7965	3612
344	7985	3587
345	8006	3563
346	8031	3541
347	8048	3515
348	8071	3492
349	8087	3465
350	8114	3444
351	8136	3421
352	8152	3394
353	8170	3369
354	8189	3345
355	8211	3321
356	8231	3297
357	8258	3275
358	8275	3250
359	8293	3225
360	8319	3203
361	8347	3182
362	8366	3157
363	8386	3133
364	8410	3110
365	8428	3085
366	8452	3063
367	8485	3043
368	8512	3022
369	8544	3002
370	8576	2982
371	8608	2962
